CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
C10001,40.900749,0.818182,95.4,0.0,95.4,0.0,0.166667,0.0,0.083333,0.0,0,2,1000.0,201.802084,139.509787,0.0,12
C10005,817.714335,1.0,16.0,16.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,1200.0,678.334763,244.791237,0.0,12
C10008,1823.652743,1.0,436.2,0.0,436.2,0.0,1.0,0.0,1.0,0.0,0,12,2300.0,679.065082,532.03399,0.0,12
C10009,1014.926473,1.0,861.49,661.49,200.0,0.0,0.333333,0.083333,0.25,0.0,0,5,7000.0,688.278568,311.963409,0.0,12
C10015,2772.772734,1.0,0.0,0.0,0.0,346.81139,0.0,0.0,0.0,0.083333,1,0,3000.0,805.647974,989.962866,0.0,12
C10019,1989.072228,1.0,504.35,166.0,338.35,0.0,0.666667,0.083333,0.583333,0.0,0,9,13000.0,1720.837373,744.613395,0.0,12
C10026,169.781679,1.0,399.6,0.0,399.6,0.0,1.0,0.0,1.0,0.0,0,12,3000.0,215.306142,163.005536,0.0,12
C10027,1615.96724,1.0,102.0,102.0,0.0,244.840485,0.166667,0.166667,0.0,0.25,5,2,1700.0,890.178845,971.183209,0.0,12
C10028,125.694817,1.0,233.28,0.0,233.28,0.0,1.0,0.0,1.0,0.0,0,12,1000.0,207.773715,164.748819,0.0,12
C10030,22.06349,1.0,100.0,0.0,100.0,0.0,0.416667,0.0,0.416667,0.0,0,5,6900.0,160.767773,159.684442,0.0,12
C10036,1656.350781,1.0,0.0,0.0,0.0,99.264367,0.0,0.0,0.0,0.083333,1,0,1800.0,351.500199,634.569311,0.0,12
C10044,4104.710798,1.0,203.82,203.82,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,4500.0,868.275275,1801.264841,0.0,12
C10045,1360.742377,1.0,0.0,0.0,0.0,1481.587093,0.0,0.0,0.0,0.083333,1,0,1500.0,378.294227,321.354137,0.0,12
C10047,2242.311686,1.0,437.0,97.0,340.0,184.648692,0.333333,0.083333,0.333333,0.166667,2,5,2400.0,0.0,864.2065423050828,0.0,12
C10049,3910.111237,1.0,0.0,0.0,0.0,1980.873201,0.0,0.0,0.0,0.5,7,0,4200.0,0.0,864.2065423050828,0.0,12
C10051,863.809833,1.0,507.5,507.5,0.0,695.097159,0.166667,0.166667,0.0,0.083333,2,3,4000.0,587.866451,286.448719,0.083333,12
C10054,1565.681099,1.0,0.0,0.0,0.0,321.359135,0.0,0.0,0.0,0.25,3,0,3500.0,691.825279,581.481917,0.0,12
C10057,1311.995984,1.0,1283.9,1283.9,0.0,0.0,0.25,0.25,0.0,0.0,0,6,6000.0,0.0,864.2065423050828,0.0,12
C10058,3625.218146,1.0,313.27,313.27,0.0,668.468743,0.25,0.25,0.0,0.416667,5,4,4000.0,0.0,864.2065423050828,0.0,12
C10062,1879.114033,0.727273,113.0,113.0,0.0,0.0,0.166667,0.166667,0.0,0.0,0,2,6500.0,3509.686561,548.105836,0.0,12
C10063,1555.793701,1.0,66.2,66.2,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,1600.0,338.083661,837.215674,0.0,12
C10068,1758.059987,1.0,412.33,325.21,87.12,0.0,0.583333,0.333333,0.166667,0.0,0,11,1800.0,777.451648,897.905444,0.0,12
C10070,1576.305029,1.0,0.0,0.0,0.0,382.908547,0.0,0.0,0.0,0.416667,6,0,2500.0,540.022225,352.883804,0.0,12
C10072,1699.435486,1.0,1363.69,1363.69,0.0,0.0,0.333333,0.333333,0.0,0.0,0,4,1700.0,1623.816348,923.505868,0.0,12
C10081,578.809679,1.0,320.0,0.0,320.0,0.0,0.75,0.0,0.666667,0.0,0,8,1500.0,1438.910569,190.186542,0.0,12
C10084,17.357563,0.909091,244.85,40.21,204.64,0.0,0.666667,0.166667,0.583333,0.0,0,13,5000.0,357.802082,121.523416,0.181818,12
C10093,4037.305658,1.0,45.0,45.0,0.0,104.238064,0.083333,0.083333,0.0,0.083333,1,1,4500.0,1073.844885,968.941265,0.0,12
C10097,1321.47608,1.0,45.65,45.65,0.0,495.657934,0.083333,0.083333,0.0,0.083333,1,1,1800.0,440.840439,312.560636,0.0,12
C10098,1307.717841,1.0,405.6,405.6,0.0,0.0,0.166667,0.166667,0.0,0.0,0,2,2400.0,0.0,864.2065423050828,0.0,12
C10099,2329.485768,1.0,213.34,213.34,0.0,0.0,0.25,0.25,0.0,0.0,0,3,2400.0,0.0,864.2065423050828,0.0,12
C10101,1619.955708,1.0,739.44,739.44,0.0,0.0,0.666667,0.666667,0.0,0.0,0,11,6000.0,417.128532,389.138517,0.0,12
C10102,3505.671311,1.0,0.0,0.0,0.0,1713.984305,0.0,0.0,0.0,0.5,6,0,4000.0,0.0,864.2065423050828,0.0,12
C10109,862.07238,1.0,0.0,0.0,0.0,920.309805,0.0,0.0,0.0,0.083333,1,0,4000.0,2236.890255,214.828158,0.083333,12
C10110,2441.542991,1.0,808.0,808.0,0.0,959.857263,0.25,0.25,0.0,0.333333,6,4,4000.0,532.741699,1026.976,0.0,12
C10111,408.656365,1.0,941.64,0.0,941.64,0.0,1.0,0.0,1.0,0.0,0,12,2500.0,1097.78942,176.610605,0.083333,12
C10113,1246.624558,1.0,423.7,177.64,246.06,412.399058,0.666667,0.166667,0.5,0.083333,2,10,2000.0,577.050373,498.365419,0.0,12
C10115,156.216753,0.818182,1354.86,585.63,769.23,0.0,0.916667,0.333333,0.833333,0.0,0,34,5500.0,858.976682,108.319927,0.0,12
C10116,3393.351236,1.0,0.0,0.0,0.0,1008.348672,0.0,0.0,0.0,0.083333,2,0,4200.0,0.0,864.2065423050828,0.0,12
C10120,680.195157,1.0,1045.57,667.95,377.62,0.0,1.0,0.583333,1.0,0.0,0,25,3000.0,552.432305,207.720441,0.0,12
C10124,2662.629852,1.0,0.0,0.0,0.0,509.023801,0.0,0.0,0.0,0.333333,4,0,3000.0,932.418855,709.207016,0.0,12
C10126,1464.324632,1.0,1174.39,1174.39,0.0,0.0,0.25,0.25,0.0,0.0,0,8,9000.0,0.0,864.2065423050828,0.0,12
C10128,2876.396444,1.0,0.0,0.0,0.0,998.84867,0.0,0.0,0.0,0.166667,2,0,3200.0,1065.426905,1412.648089,0.0,12
C10133,4245.855092,1.0,1957.3,1077.3,880.0,0.0,0.833333,0.166667,0.583333,0.0,0,19,5000.0,1004.35474,1086.428906,0.0,12
C10140,231.108995,1.0,440.0,0.0,440.0,0.0,0.916667,0.0,0.916667,0.0,0,22,4000.0,554.116542,185.091037,0.0,12
C10141,1562.633343,1.0,1330.62,1169.63,160.99,0.0,0.5,0.166667,0.25,0.0,0,8,2000.0,1020.783647,709.610053,0.0,12
C10143,706.132889,1.0,897.86,714.52,183.34,586.268966,0.916667,0.333333,0.916667,0.25,3,18,1200.0,972.358048,184.524376,0.0,12
C10146,947.13081,1.0,197.06,148.66,48.4,0.0,0.333333,0.25,0.166667,0.0,0,5,1000.0,492.200419,509.384182,0.0,12
C10147,764.042156,0.818182,0.0,0.0,0.0,1307.102516,0.0,0.0,0.0,0.166667,3,0,7500.0,1566.806897,172.959728,0.0,12
C10151,3057.400553,1.0,1025.0,1025.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0,2,7500.0,698.854095,819.682666,0.0,12
C10152,19.354559,0.909091,689.7,0.0,689.7,0.0,0.833333,0.0,0.833333,0.0,0,10,10000.0,746.691026,864.2065423050828,0.0,12
C10153,264.811595,1.0,28.65,28.65,0.0,384.26178,0.083333,0.083333,0.0,0.083333,1,1,9000.0,1235.630069,194.324456,0.083333,12
C10154,1108.22253,0.909091,944.96,164.96,780.0,0.0,0.5,0.25,0.416667,0.0,0,9,1500.0,1955.198953,992.652486,0.0,12
C10155,906.573724,1.0,1039.2,80.0,959.2,103.102091,0.833333,0.083333,0.833333,0.083333,1,11,13500.0,1855.235407,468.196732,0.083333,12
C10165,1046.37041,1.0,295.0,295.0,0.0,93.579809,0.083333,0.083333,0.0,0.083333,1,2,1200.0,439.407082,362.838185,0.0,12
C10166,2737.367678,1.0,0.0,0.0,0.0,429.691164,0.0,0.0,0.0,0.416667,5,0,3000.0,778.827993,721.798576,0.0,12
C10167,4014.818167,1.0,0.0,0.0,0.0,988.356213,0.0,0.0,0.0,0.083333,1,0,8500.0,1009.185035,1177.149934,0.0,12
C10168,871.568977,1.0,648.22,115.0,533.22,0.0,1.0,0.083333,1.0,0.0,0,27,1200.0,1110.886425,208.298424,0.0,12
C10169,1610.040203,1.0,557.19,525.64,31.55,0.0,0.25,0.083333,0.166667,0.0,0,5,4000.0,422.711848,616.005839,0.0,12
C10174,1128.124563,1.0,924.6,0.0,924.6,0.0,1.0,0.0,1.0,0.0,0,12,1000.0,1202.711782,1747.037345,0.0,12
C10175,349.441102,1.0,1975.4,1393.5,581.9,0.0,0.666667,0.416667,0.333333,0.0,0,17,4000.0,1795.012223,167.219681,0.0,12
C10181,1608.451822,1.0,0.0,0.0,0.0,205.737165,0.0,0.0,0.0,0.166667,2,0,1800.0,470.565984,408.799147,0.0,12
C10190,117.442684,1.0,653.73,493.0,160.73,0.0,0.666667,0.416667,0.416667,0.0,0,15,10000.0,441.588141,136.827952,0.0,12
C10192,1706.014379,1.0,147.78,0.0,147.78,1657.090283,0.166667,0.0,0.166667,0.25,4,2,6000.0,1186.062765,374.595505,0.0,12
C10193,874.583247,1.0,516.54,159.07,357.47,0.0,1.0,0.333333,0.916667,0.0,0,30,900.0,579.749308,693.894717,0.0,12
C10194,861.001207,1.0,969.56,969.56,0.0,446.233197,0.416667,0.416667,0.0,0.083333,1,6,2400.0,0.0,864.2065423050828,0.0,12
C10196,966.251742,1.0,311.45,311.45,0.0,955.959749,0.333333,0.333333,0.0,0.083333,1,15,1500.0,277.522439,286.299328,0.0,12
C10197,38.615644,0.727273,280.4,280.4,0.0,0.0,0.25,0.25,0.0,0.0,0,3,6150.0,254.392984,55.79974,0.090909,12
C10198,189.687964,1.0,66.14,66.14,0.0,0.0,0.083333,0.083333,0.0,0.0,0,2,6000.0,0.0,864.2065423050828,0.0,12
C10201,3983.923705,1.0,756.54,756.54,0.0,0.0,0.5,0.5,0.0,0.0,0,15,4000.0,1110.870941,1431.201171,0.0,12
C10205,1973.814964,1.0,873.0,873.0,0.0,0.0,0.166667,0.166667,0.0,0.0,0,5,8000.0,541.722532,762.682834,0.0,12
C10208,566.546048,0.909091,405.75,313.75,92.0,1044.651618,0.5,0.166667,0.416667,0.333333,6,12,2000.0,1249.835142,313.052687,0.0,12
C10214,1570.682346,1.0,645.32,645.32,0.0,1665.331678,0.166667,0.166667,0.0,0.416667,9,2,1800.0,2591.391006,808.217224,0.0,12
C10219,3670.50596,1.0,965.5,876.13,89.37,0.0,0.5,0.5,0.083333,0.0,0,9,7500.0,1034.932404,941.496383,0.0,12
C10221,768.004936,1.0,336.41,336.41,0.0,0.0,0.75,0.75,0.0,0.0,0,9,6000.0,947.696134,217.027653,0.0,12
C10222,75.647479,0.727273,540.0,0.0,540.0,0.0,0.25,0.0,0.166667,0.0,0,3,4000.0,548.967281,48.659935,0.0,12
C10224,1121.730896,1.0,878.52,103.1,775.42,197.648111,1.0,0.166667,0.916667,0.083333,1,39,1500.0,542.836917,471.496776,0.0,12
C10234,28.461629,1.0,100.0,100.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,4000.0,125.769169,104.857518,0.0,12
C10236,3019.019487,1.0,2260.41,1356.33,904.08,0.0,0.833333,0.416667,0.75,0.0,0,25,8500.0,2187.930651,739.224894,0.0,12
C10239,1070.999446,1.0,990.7,482.0,508.7,0.0,0.75,0.25,0.583333,0.0,0,13,1400.0,505.317328,438.324017,0.0,12
C10242,2229.857287,1.0,45.65,45.65,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,2500.0,542.7463,628.211031,0.0,12
C10246,3421.571922,1.0,126.69,42.88,83.81,154.341344,0.333333,0.083333,0.25,0.083333,1,5,10500.0,2515.435738,975.504012,0.0,12
